Rk,Team,Conf,W-L,BPI Off,BPI Def,BPI,Year
117,Marquette,Big East,13-19,0.0,3.4,3.4,2015
131,Kent St.,MAC E,23-12,-1.2,3.4,2.2,2015
137,Utah St.,MW,18-13,0.3,1.4,1.7,2015
156,Auburn,SEC,15-20,3.8,-3.4,0.4,2015
160,Mississippi St.,SEC,13-19,-3.9,4.1,0.2,2015
161,Colgate,Patriot,16-17,-0.5,0.6,0.2,2015
181,Princeton,Ivy,16-14,1.3,-2.1,-0.7,2015
194,Oral Roberts,Summit,19-15,1.5,-3.0,-1.5,2015
198,Northern Kentucky,A-Sun,13-17,0.2,-1.9,-1.7,2015
213,Houston,American,13-19,-1.8,-0.6,-2.4,2015
215,Missouri,SEC,23-Sep,-4.0,1.6,-2.4,2015
224,Texas A&M-CC,Southland,20-14,-3.5,0.6,-2.9,2015
225,USC,Pac-12,20-Dec,0.2,-3.1,-2.9,2015
227,Texas Southern,SWAC,22-13,-0.4,-2.6,-3.0,2015
228,UNC Asheville,Big South,15-16,1.3,-4.3,-3.0,2015
239,SE Missouri St.,Ohio Valley W,13-17,-0.3,-3.4,-3.7,2015
255,Howard,MEAC,16-16,-6.5,1.9,-4.6,2015
264,Grand Canyon,WAC,17-15,-0.6,-4.4,-5.0,2015
272,College of Charleston,CAA,24-Sep,-8.4,2.9,-5.6,2015
277,Florida Atlantic,C-USA,20-Sep,-5.4,-0.5,-5.9,2015
286,Drake,MVC,22-Sep,-5.4,-1.2,-6.6,2015
313,Furman,Southern,22-Nov,-5.8,-2.6,-8.4,2015
315,Nevada,MW,22-Sep,-6.4,-2.2,-8.6,2015
316,Fairleigh Dickinson,NEC,21-Aug,-1.6,-7.2,-8.8,2015
318,Montana St.,Big Sky,23-Jul,-5.4,-3.5,-9.0,2015
341,Kennesaw St.,A-Sun,22-Oct,-5.3,-7.4,-12.7,2015
3,Michigan St.,Big Ten,29-6,10.5,8.1,18.6,2016
4,Virginia,ACC,29-8,3.4,15.2,18.6,2016
5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016
7,West Virginia,Big 12,26-9,8.9,7.7,16.5,2016
8,Kentucky,SEC,27-9,9.8,6.4,16.2,2016
9,Purdue,Big Ten,26-9,7.7,8.2,15.9,2016
10,Indiana,Big Ten,27-8,11.5,4.3,15.8,2016
11,Duke,ACC,25-11,12.1,3.5,15.6,2016
14,Arizona,Pac-12,25-9,9.6,5.2,14.8,2016
16,Xavier,Big East,28-6,10.1,4.0,14.1,2016
18,Connecticut,American,25-11,4.4,9.1,13.5,2016
19,Miami FL,ACC,27-8,6.7,6.8,13.5,2016
20,Maryland,Big Ten,27-9,6.3,7.0,13.3,2016
21,Texas A&M,SEC,28-9,5.5,7.5,13.0,2016
24,Iowa,Big Ten,22-11,7.4,5.5,12.9,2016
25,Iowa St.,Big 12,23-12,12.3,0.5,12.8,2016
26,Gonzaga,WCC,28-8,6.4,6.1,12.5,2016
27,Pittsburgh,ACC,21-12,5.2,7.1,12.3,2016
29,Baylor,Big 12,22-12,7.5,4.3,11.8,2016
35,VCU,A 10,25-11,5.6,5.0,10.6,2016
41,Creighton,Big East,20-15,8.4,1.4,9.8,2016
45,Texas,Big 12,20-13,2.7,7.0,9.6,2016
50,Princeton,Ivy,22-7,5.6,3.1,8.7,2016
58,Houston,American,22-10,6.5,1.2,7.6,2016
59,Memphis,American,19-15,5.3,2.3,7.6,2016
60,San Diego St.,MW,28-10,-3.1,10.6,7.5,2016
61,Arkansas,SEC,16-16,6.7,0.7,7.4,2016
62,Providence,Big East,24-11,3.8,3.6,7.4,2016
63,Kansas St.,Big 12,17-16,0.7,6.6,7.4,2016
64,Northwestern,Big Ten,20-12,0.9,6.5,7.3,2016
65,USC,Pac-12,21-13,7.7,-0.4,7.3,2016
69,North Carolina St.,ACC,16-17,5.7,1.4,7.1,2016
72,UC Santa Barbara,Big West,19-14,1.8,5.0,6.7,2016
85,Mississippi St.,SEC,14-17,4.3,1.2,5.5,2016
88,UCLA,Pac-12,15-17,5.3,0.0,5.3,2016
97,Tennessee,SEC,15-19,4.3,0.3,4.6,2016
99,Alabama,SEC,18-15,-2.5,7.1,4.5,2016
101,Marquette,Big East,20-13,4.2,0.3,4.5,2016
106,Iona,MAAC,22-11,6.9,-2.7,4.2,2016
114,Arizona St.,Pac-12,15-17,2.1,1.1,3.3,2016
121,UNC Asheville,Big South,22-12,0.8,1.9,2.7,2016
122,Illinois,Big Ten,15-19,2.7,-0.2,2.6,2016
125,College of Charleston,CAA,17-14,-7.1,9.4,2.3,2016
129,Vermont,Am. East,23-14,1.1,1.0,2.1,2016
130,Nevada,MW,24-14,1.9,0.0,2.0,2016
141,TCU,Big 12,21-Dec,-2.0,3.4,1.3,2016
144,Grand Canyon,WAC,27-7,1.5,-0.2,1.3,2016
147,Utah St.,MW,16-15,0.5,0.8,1.2,2016
153,Furman,Southern,19-16,-2.7,3.6,0.9,2016
165,Missouri,SEC,21-Oct,-1.4,1.5,0.1,2016
167,Kent St.,MAC E,19-13,0.6,-0.6,0.0,2016
169,Texas Southern,SWAC,18-15,0.9,-1.0,-0.1,2016
180,Auburn,SEC,20-Nov,0.9,-1.8,-0.9,2016
190,Oral Roberts,Summit,14-17,2.1,-3.4,-1.3,2016
193,Texas A&M-CC,Southland,25-8,-1.5,0.0,-1.6,2016
243,Colgate,Patriot,13-17,-2.6,-1.9,-4.5,2016
244,Northern Kentucky,Horizon,21-Sep,-3.2,-1.4,-4.6,2016
248,Montana St.,Big Sky,14-17,0.7,-5.3,-4.7,2016
249,Drake,MVC,24-Jul,-2.6,-2.2,-4.7,2016
278,Fairleigh Dickinson,NEC,18-15,2.1,-8.8,-6.7,2016
283,Kennesaw St.,A-Sun,20-Nov,-2.5,-4.4,-7.0,2016
310,Florida Atlantic,C-USA,25-Aug,-6.9,-1.6,-8.6,2016
328,Howard,MEAC,20-Dec,-4.4,-5.8,-10.2,2016
336,SE Missouri St.,Ohio Valley W,24-May,-6.2,-5.5,-11.7,2016
1,Gonzaga,WCC,37-2,10.8,9.5,20.4,2017
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017
7,Duke,ACC,28-9,11.8,5.9,17.7,2017
8,West Virginia,Big 12,28-9,8.2,9.4,17.6,2017
9,Kentucky,SEC,32-6,9.6,7.9,17.5,2017
11,Virginia,ACC,23-11,5.8,11.4,17.2,2017
12,UCLA,Pac-12,31-5,14.4,2.4,16.8,2017
14,Purdue,Big Ten,27-8,8.9,7.2,16.1,2017
18,Baylor,Big 12,27-8,7.9,7.1,15.1,2017
21,Iowa St.,Big 12,24-11,9.6,5.1,14.7,2017
22,Arizona,Pac-12,32-5,8.8,5.9,14.7,2017
27,Creighton,Big East,25-10,8.1,3.9,12.0,2017
29,Marquette,Big East,19-13,9.8,1.0,10.8,2017
31,Miami FL,ACC,21-12,4.5,6.2,10.7,2017
32,Indiana,Big Ten,18-16,7.5,3.2,10.6,2017
33,Xavier,Big East,24-14,6.8,3.6,10.4,2017
37,Kansas St.,Big 12,21-14,5.1,5.1,10.2,2017
42,VCU,A 10,26-9,3.5,6.2,9.7,2017
43,Michigan St.,Big Ten,20-15,4.6,5.1,9.7,2017
44,TCU,Big 12,24-15,5.7,4.0,9.7,2017
45,Arkansas,SEC,26-10,6.5,3.1,9.6,2017
47,Northwestern,Big Ten,24-12,3.6,5.8,9.4,2017
48,Houston,American,21-11,6.5,2.7,9.2,2017
49,Nevada,MW,28-7,7.4,1.6,9.0,2017
50,Vermont,Am. East,29-6,4.7,4.3,9.0,2017
51,Maryland,Big Ten,24-9,4.7,4.2,8.9,2017
54,Princeton,Ivy,23-7,3.9,4.4,8.3,2017
55,Providence,Big East,20-13,2.8,5.4,8.3,2017
57,USC,Pac-12,26-10,6.2,1.6,7.8,2017
58,Alabama,SEC,19-15,-0.3,8.1,7.8,2017
62,Tennessee,SEC,16-16,3.2,4.0,7.2,2017
63,Illinois,Big Ten,20-15,2.4,4.7,7.2,2017
70,Texas,Big 12,22-Nov,0.2,6.2,6.4,2017
71,Pittsburgh,ACC,16-17,5.9,0.4,6.2,2017
73,Texas A&M,SEC,16-15,2.6,3.5,6.1,2017
79,Iowa,Big Ten,19-15,4.1,1.3,5.4,2017
82,Auburn,SEC,18-14,3.8,1.3,5.2,2017
85,San Diego St.,MW,19-14,-0.7,5.6,4.9,2017
87,North Carolina St.,ACC,15-17,5.6,-0.8,4.8,2017
91,Connecticut,American,16-17,1.0,3.4,4.5,2017
93,College of Charleston,CAA,25-10,0.0,4.4,4.4,2017
94,UNC Asheville,Big South,23-10,2.0,2.3,4.3,2017
95,Furman,Southern,23-12,2.0,2.2,4.2,2017
99,Mississippi St.,SEC,16-16,1.3,2.5,3.9,2017
116,Memphis,American,19-13,0.9,1.8,2.7,2017
140,Kent St.,MAC E,22-14,0.7,0.7,1.4,2017
145,Iona,MAAC,22-13,4.3,-3.2,1.2,2017
162,Utah St.,MW,14-17,0.7,-0.6,0.1,2017
165,Arizona St.,Pac-12,15-18,3.9,-4.0,0.0,2017
170,Northern Kentucky,Horizon,24-11,0.5,-0.7,-0.2,2017
172,Missouri,SEC,24-Aug,-2.6,2.4,-0.2,2017
185,Texas Southern,SWAC,23-12,1.3,-2.2,-0.9,2017
203,Grand Canyon,WAC,22-9,-1.5,-0.3,-1.9,2017
216,Texas A&M-CC,Southland,24-12,-1.7,-0.9,-2.6,2017
242,Oral Roberts,Summit,22-Aug,0.1,-4.4,-4.3,2017
247,Fairleigh Dickinson,NEC,19-Nov,-0.4,-4.0,-4.4,2017
250,Montana St.,Big Sky,16-16,-0.7,-3.8,-4.5,2017
258,SE Missouri St.,Ohio Valley W,15-18,-1.5,-3.6,-5.0,2017
261,Kennesaw St.,A-Sun,14-18,-1.4,-3.8,-5.2,2017
272,Colgate,Patriot,22-Oct,-3.2,-2.6,-5.8,2017
285,Drake,MVC,24-Jul,-1.6,-5.0,-6.5,2017
290,Florida Atlantic,C-USA,20-Oct,-4.5,-2.5,-6.9,2017
316,UC Santa Barbara,Big West,22-Jun,-7.0,-2.4,-9.4,2017
338,Howard,MEAC,24-Oct,-9.5,-3.3,-12.8,2017
2,Virginia,ACC,31-3,7.0,13.2,20.2,2018
3,Duke,ACC,29-8,12.4,7.5,19.8,2018
4,Purdue,Big Ten,30-7,12.0,7.0,19.0,2018
6,Michigan St.,Big Ten,30-5,10.1,7.7,17.8,2018
7,Kansas,Big 12,31-8,11.2,5.2,16.5,2018
9,West Virginia,Big 12,26-11,9.4,6.4,15.8,2018
10,Gonzaga,WCC,32-5,9.4,5.9,15.4,2018
13,Xavier,Big East,29-6,10.5,4.2,14.7,2018
14,Tennessee,SEC,26-9,6.0,8.3,14.4,2018
18,Houston,American,27-8,6.8,6.6,13.4,2018
19,Kentucky,SEC,26-11,7.0,5.9,12.9,2018
22,TCU,Big 12,21-12,9.6,2.7,12.3,2018
23,Auburn,SEC,26-8,7.1,5.1,12.2,2018
24,Creighton,Big East,21-12,8.1,4.1,12.2,2018
26,Arizona,Pac-12,27-8,9.4,2.5,11.9,2018
31,Nevada,MW,29-8,9.4,1.7,11.2,2018
32,Texas A&M,SEC,22-13,4.1,6.7,10.8,2018
35,Miami FL,ACC,22-10,4.9,5.7,10.6,2018
38,Baylor,Big 12,19-15,5.0,5.4,10.4,2018
39,Maryland,Big Ten,19-13,5.7,4.5,10.2,2018
40,Texas,Big 12,19-15,3.2,6.8,10.0,2018
41,Arkansas,SEC,23-12,7.6,2.4,10.0,2018
46,Arizona St.,Pac-12,20-12,7.3,2.0,9.2,2018
47,Kansas St.,Big 12,25-12,3.5,5.7,9.2,2018
49,Missouri,SEC,20-13,4.4,4.8,9.1,2018
50,Marquette,Big East,21-14,9.2,-0.2,9.0,2018
51,USC,Pac-12,24-12,6.3,2.6,8.9,2018
53,San Diego St.,MW,22-11,3.6,5.1,8.8,2018
54,Alabama,SEC,20-16,2.7,6.0,8.6,2018
56,UCLA,Pac-12,21-12,6.9,1.3,8.1,2018
58,Mississippi St.,SEC,25-12,3.0,5.0,8.0,2018
62,Providence,Big East,21-14,2.5,5.1,7.7,2018
66,Vermont,Am. East,27-8,5.8,1.5,7.4,2018
69,Furman,Southern,23-10,4.0,3.0,7.0,2018
74,Northwestern,Big Ten,15-17,3.1,3.7,6.8,2018
75,Northern Kentucky,Horizon,22-10,2.5,4.3,6.7,2018
78,Indiana,Big Ten,16-15,2.9,3.7,6.6,2018
90,Iowa,Big Ten,14-19,7.4,-1.6,5.8,2018
95,Iowa St.,Big 12,13-18,3.1,1.5,4.6,2018
97,Illinois,Big Ten,14-18,2.7,1.8,4.5,2018
114,College of Charleston,CAA,26-8,2.3,0.9,3.3,2018
115,Grand Canyon,WAC,22-12,-0.7,3.9,3.2,2018
116,Iona,MAAC,20-14,4.4,-1.3,3.1,2018
144,UC Santa Barbara,Big West,23-9,2.6,-1.4,1.2,2018
153,Utah St.,MW,17-17,1.3,-0.3,1.0,2018
160,Memphis,American,21-13,1.2,-0.7,0.5,2018
173,Connecticut,American,14-18,-0.5,0.3,-0.2,2018
175,UNC Asheville,Big South,21-13,0.8,-1.1,-0.2,2018
177,Princeton,Ivy,13-16,0.6,-0.9,-0.3,2018
180,Drake,MVC,17-17,0.3,-0.7,-0.4,2018
187,Colgate,Patriot,19-14,1.0,-1.8,-0.9,2018
206,Kent St.,MAC E,17-17,-1.6,-0.7,-2.4,2018
229,Texas Southern,SWAC,16-20,0.7,-4.3,-3.6,2018
235,Florida Atlantic,C-USA,19-Dec,-5.0,1.0,-4.0,2018
247,Pittsburgh,ACC,24-Aug,-4.4,-0.4,-4.8,2018
251,Fairleigh Dickinson,NEC,13-18,-1.5,-3.5,-5.0,2018
275,SE Missouri St.,OVC,14-17,1.5,-7.7,-6.3,2018
276,Montana St.,Big Sky,13-19,-1.9,-4.4,-6.4,2018
282,Oral Roberts,Summit,21-Nov,-0.9,-5.7,-6.6,2018
307,Kennesaw St.,A-Sun,20-Oct,-4.1,-4.0,-8.1,2018
317,Texas A&M-CC,Southland,18-Nov,-7.3,-1.4,-8.7,2018
335,Howard,MEAC,23-Oct,-4.7,-7.2,-11.9,2018
